,Avg. Packet Delivery Ratio (%),Avg. Throughput (kbps),First Node Dead (FND) Round,Last Node Dead (LND) Round,Total Energy Consumption (J),Residual Energy (J),Energy Standard Deviation,Network Lifetime (Rounds)
LEACH,100.0,185253.12,0.0,0.0,4042.224798102736,1468.0493499873573,0.2609383841312429,50.0
DBSCAN-LEACH,100.0,83912.32,0.0,0.0,4972.964372038828,537.3097760512658,0.25576604246335255,50.0
PEGASIS,100.0,33287.68,0.0,0.0,5427.361427337063,82.91272075302966,0.18784716419189415,50.0
SEP,100.0,241829.12,0.0,0.0,3235.5858738789075,2274.6882742111857,0.2396467605141123,50.0
TEEN,100.0,203109.12,0.0,0.0,3736.98098267397,1773.2931654161232,0.26403244999827785,50.0
HEED,100.0,107753.6,0.0,0.0,4647.237087527335,863.0370605627585,0.24717739508156097,50.0
MSOFSO,100.0,171162.88,0.0,0.0,4279.263070574681,1231.0110775154126,0.25899690723051216,50.0
GWW,100.0,78992.0,0.0,0.0,4943.635671045973,566.6384770441205,0.26504707216975276,50.0
Proposed,100.0,284254.72,0.0,0.0,2868.354943075541,2641.919205014552,0.15269277661760874,50.0
